epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
1,380.0295991897583,7.278741230381385,7.288823381102696,1449.1627145352372,1463.8472931200536,10.515549345832387,10.501003876985257,0.319394816,2.60243456,2.52237568,2.60243456
2,380.56077909469604,7.044724021463624,7.055455444238682,1146.7923020785531,1159.1652862265619,10.178870580616184,10.163388410196927,0.399086592,2.603483136,2.52237568,2.603483136
3,380.68531680107117,6.901333106123467,6.913379903922147,993.598405217889,1005.64047284177,9.9738989031699,9.956519047727152,0.956929024,3.451256832,3.398067712,3.451256832
4,379.4410421848297,6.779316233269464,6.791607062021892,879.4671680791095,890.3432495473172,9.798217828045447,9.780485910355903,1.435472896,3.92364032,3.877529088,3.92364032
5,380.0491592884064,6.6931733337559605,6.711233212755792,806.8786891660425,821.5832018543366,9.682262874292086,9.656207976419974,1.993315328,4.50166784,4.434454016,4.50166784
6,382.52558493614197,6.5967190280528385,6.616477030352392,732.687314791857,747.3077117394776,9.545558599845132,9.517053827909693,2.471465984,4.964089856,4.913653248,4.964089856
7,382.6816449165344,6.53567416201706,6.558010469389569,689.2983264681072,704.867942306793,9.461209182286234,9.428984702408146,3.029308416,5.542117376,5.47149568,5.542117376
8,382.9166350364685,6.480988442493643,6.506390818871875,652.6157006579091,669.4060447726501,9.386737768471935,9.350089886044266,3.507459072,6.004539392,5.94859776,6.004539392
9,380.7882447242737,6.429679869700164,6.462872623265646,619.9754433161643,640.8994775099904,9.323954283482394,9.276067262520023,3.985609728,6.486884352,6.426486272,6.486884352
10,384.38686060905457,6.369677617228513,6.400654071516095,583.8695690572022,602.2388163340564,9.234191887422023,9.189502310437005,4.54345216,7.064911872,6.984328704,7.064911872
11,384.2521598339081,6.3105501259508126,6.343218733955923,550.347626060165,568.6236171430713,9.15133021075218,9.104199371990461,5.021602816,7.527333888,7.46247936,7.527333888
