epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
1,45.36000323295593,7.457151275745471,7.462987089790818,1732.206443533603,1742.3448323287366,10.766814464659571,10.758395164676799,0.571867136,2.730622976,2.633627136,2.730622976
2,45.565335512161255,6.901143886999674,6.921736181283469,993.4104151844674,1014.079092176635,9.985954463079372,9.956246062235614,0.571867136,3.077439488,2.980443648,3.077439488
3,45.9538950920105,6.721149024777144,6.7566407324985205,829.7703906739569,859.7492117696494,9.747772077843988,9.69656836712168,0.571867136,3.077439488,2.980443648,3.077439488
4,46.30331492424011,6.628589153807112,6.680403903017595,756.414233329967,796.6408126717768,9.63778558201876,9.563032700287891,0.571867136,3.077439488,2.980443648,3.077439488
5,46.01118278503418,6.572040578942005,6.638111280948772,714.8270168459885,763.6513073182332,9.576770225893878,9.481450351760662,0.571867136,3.077439488,2.980443648,3.077439488
6,46.32488012313843,6.535656854263773,6.613122402182885,689.2863963659731,744.8049724652752,9.540718894420957,9.428959732598308,0.571867136,3.077439488,2.980443648,3.077439488
7,46.23102426528931,6.507666359951349,6.594866116324317,670.2604444767238,731.3309668574984,9.514380641347751,9.388577985261744,0.571867136,3.077439488,2.980443648,3.077439488
8,46.6823353767395,6.488149382345781,6.5838480709625316,657.305815208943,723.3173573159694,9.498484961944012,9.360420938457048,0.571867136,3.077439488,2.980443648,3.077439488
9,46.48117804527283,6.472080222694474,6.576721882154083,646.8278744411364,718.1811836665523,9.488204044689626,9.337238041516855,0.571867136,3.077439488,2.980443648,3.077439488
10,46.77919244766235,6.457355628855544,6.568264445994713,637.3733743645312,712.132825010753,9.476002543483867,9.315994943006327,0.571867136,3.077439488,2.980443648,3.077439488
11,46.14464592933655,6.4428020472897725,6.559825179827126,628.1644826924396,706.1482348475623,9.463827256035147,9.294998563054216,0.571867136,3.077439488,2.980443648,3.077439488
12,46.09592866897583,6.430864150976145,6.553066491240048,620.7101035615735,701.3916909379434,9.454076529527658,9.2777758192439,0.571867136,3.077439488,2.980443648,3.077439488
13,46.195759296417236,6.421602721714799,6.549776086970206,614.9879792710725,699.0876214620703,9.449329479605035,9.26441440117701,0.571867136,3.077439488,2.980443648,3.077439488
14,46.293490409851074,6.413526906467952,6.54561900407084,610.0414504816129,696.1874884888401,9.443332076721557,9.25276346256925,0.571867136,3.077439488,2.980443648,3.077439488
15,46.08646082878113,6.4042305493697524,6.540436437662165,604.3965663959272,692.5887839143745,9.435855213864684,9.239351654285343,0.571867136,3.077439488,2.980443648,3.077439488
