epoch,time,train_loss,val_loss,train_ppl,val_ppl,val_bpc,train_bpc,memalloc_Gb,memcache_Gb,max_memalloc_Gb,max_memcache_Gb
1,564.2217783927917,6.522951220379698,6.512466500631218,680.5839777163516,673.4855231254608,9.39550312441616,9.410629377602403,0.68747264,2.961833984,2.864838144,2.961833984
2,590.0537021160126,6.455311325658846,6.454878272161854,636.0717208783384,635.7963274296263,9.312420872789827,9.313045636922377,0.68747264,2.961833984,2.864838144,2.961833984
3,617.302218914032,6.409579273288024,6.414041480883564,607.6379777461894,610.3554429838192,9.253505836526822,9.247068231757318,0.68747264,2.961833984,2.864838144,2.961833984
4,620.1664826869965,6.36972526046426,6.376896058701551,583.897387155393,588.0994455605414,9.199916320153104,9.18957104509695,0.68747264,3.424256,3.32726016,3.424256
5,600.6815872192383,6.333773018190588,6.343733280436405,563.2778471365251,568.9162757107523,9.152072544407877,9.137702923459884,0.68747264,3.424256,3.32726016,3.424256
6,610.7159802913666,6.285050224669425,6.300281147921929,536.491235055786,544.725036911432,9.089384368313192,9.067410790868646,0.68747264,3.424256,3.32726016,3.424256
7,624.9826519489288,6.229213134816322,6.249521324813673,507.3561055329229,517.7649241196285,9.016153423238512,8.986854898239903,0.68747264,3.424256,3.32726016,3.424256
8,644.4692962169647,6.158323304647348,6.1839415875107155,472.6349452860691,484.89946825866497,8.921541861448734,8.884582491805661,0.68747264,3.424256,3.32726016,3.424256
9,636.5167706012726,6.084270476648276,6.116763130060728,438.8995084121242,453.3947369575884,8.824623834031065,8.777746844087597,0.68747264,3.424256,3.32726016,3.424256
10,668.2707743644714,6.02023313088827,6.0565721720319665,411.6745585958003,426.9095533895244,8.737786637376615,8.685360482927946,0.68747264,3.424256,3.32726016,3.424256
11,710.541826248169,5.966573796170108,6.009531778858579,390.1665878168209,407.29257262809796,8.669921695423904,8.607946426832651,0.68747264,3.424256,3.32726016,3.424256
12,723.1801989078522,5.911908079881412,5.957571139592997,369.41034782068255,386.66981575495936,8.594958338834028,8.529080469036307,0.68747264,3.424256,3.32726016,3.424256
13,728.7387034893036,5.862388112404691,5.911212488277385,351.5627135995439,369.1534784327496,8.528076942478693,8.45763825753266,0.68747264,3.424256,3.32726016,3.424256
14,688.215637922287,5.8189832760061,5.875731268128244,336.62962016752925,356.2851053738457,8.476888362124837,8.395018315309814,0.68747264,3.424256,3.32726016,3.424256
15,707.1447837352753,5.771574697941986,5.8326002609319145,321.04288037844793,341.2448520890039,8.414663471934148,8.326622194841121,0.68747264,3.424256,3.32726016,3.424256
16,704.7042112350464,5.718761334937861,5.783772839871338,304.5274816914807,324.9829891462189,8.344220393710655,8.2504286179424,0.68747264,3.424256,3.32726016,3.424256
17,712.8722069263458,5.687714866030853,5.757387388357148,295.2182360427434,316.5203031048106,8.306154233659518,8.205638031213146,0.68747264,3.424256,3.32726016,3.424256
18,716.8666889667511,5.632753248682894,5.708374948659369,279.43040089349995,301.38091067208774,8.235444229965664,8.126345178426009,0.68747264,3.424256,3.32726016,3.424256
19,725.0067098140717,5.601147094651034,5.681383665124672,270.7367900967259,293.35505439152763,8.196504039062928,8.080747136742673,0.68747264,3.424256,3.32726016,3.424256
20,733.6431775093079,5.572106487355906,5.658683840356159,262.9874960091035,286.77095770224076,8.163755114440345,8.038850396613586,0.803078144,3.424256,3.32726016,3.424256
21,742.3787715435028,5.529723625115854,5.619571970574151,252.0742344081922,275.7713197296083,8.107328613865949,7.977704851441184,0.803078144,3.424256,3.32726016,3.424256
22,750.58495926857,5.499362708625348,5.593526337506941,244.53604188541456,268.68141248356477,8.06975270820307,7.9339033077834875,0.803078144,3.424256,3.32726016,3.424256
23,758.6347515583038,5.480151681871572,5.577233947063805,239.88309053098303,264.33941679632704,8.046247757306531,7.9061876547554295,0.803078144,3.424256,3.32726016,3.424256
24,768.6682744026184,5.4548267844831,5.558689523784326,233.88435516110547,259.48256768133825,8.019493809805082,7.869651550882059,0.803078144,3.424256,3.32726016,3.424256
25,777.0182893276215,5.416056474437874,5.522124543305106,224.99011646960943,250.16596142273536,7.966741693797508,7.813717816846084,0.803078144,3.424256,3.32726016,3.424256
